	C0_1	C0_2	C63_1	C63_2
ASV_579	1	0	0	0
ASV_580	1	1	4	8
ASV_581	0	1	2	3
ASV_582	0	0	7	7
ASV_583	0	0	6	4
ASV_584	0	0	5	2
ASV_585	0	0	4	3
ASV_586	0	0	3	3
ASV_589	9	3	0	0
ASV_590	8	1	0	0
ASV_591	6	4	0	0
ASV_592	4	6	0	1
ASV_593	3	0	3	5
ASV_594	2	6	4	2
ASV_595	1	4	0	0
ASV_596	1	1	3	2
ASV_597	0	2	3	1
ASV_598	0	1	6	0
ASV_599	0	1	0	2
ASV_600	0	0	9	4
ASV_601	0	0	9	1
ASV_602	0	0	8	8
ASV_603	0	0	2	5
ASV_604	0	0	1	1
ASV_605	0	0	0	9
ASV_607	4	3	2	1
ASV_608	4	2	1	0
ASV_609	4	1	0	1
ASV_610	4	1	5	0
ASV_611	4	5	0	0
ASV_612	3	2	2	2
ASV_613	2	0	7	3
ASV_614	2	0	5	4
ASV_615	1	2	0	0
ASV_616	0	5	2	0
ASV_617	0	2	2	2
ASV_618	0	0	10	4
ASV_619	0	0	9	2
ASV_623	6	2	2	0
ASV_624	4	2	3	0
ASV_625	4	2	3	0
ASV_626	4	7	0	0
ASV_627	3	1	2	1
ASV_628	3	2	2	1
ASV_629	3	2	2	0
ASV_630	1	3	3	1
ASV_631	0	0	9	0
ASV_632	0	0	8	1
ASV_633	0	0	6	5
ASV_634	0	0	6	6
ASV_635	0	0	4	3
ASV_636	0	0	4	3
ASV_637	0	0	2	5
ASV_638	0	0	1	0
ASV_640	4	5	0	0
ASV_641	2	2	3	0
ASV_642	1	0	3	6
ASV_643	1	0	3	6
ASV_644	1	3	4	1
ASV_645	1	2	0	0
ASV_646	0	1	0	0
ASV_647	0	0	8	0
ASV_648	0	0	7	3
ASV_649	0	0	5	3
ASV_650	0	0	4	4
ASV_651	0	0	2	1
ASV_652	0	0	2	6
ASV_653	0	0	1	4
ASV_654	0	0	1	10
ASV_655	0	0	1	0
ASV_656	0	0	1	1
ASV_657	0	0	1	1
ASV_658	0	0	1	4
ASV_659	0	0	0	1
ASV_660	0	0	0	1
ASV_663	6	1	0	0
ASV_664	3	1	1	0
ASV_665	1	4	1	1
ASV_666	0	0	10	1
ASV_667	0	0	6	3
ASV_668	0	0	6	4
ASV_669	0	0	5	2
ASV_670	0	0	5	2
ASV_671	0	0	3	3
ASV_672	0	0	2	4
ASV_673	0	0	2	7
ASV_674	0	0	1	5
ASV_675	0	0	1	4
ASV_676	0	0	1	4
ASV_677	0	0	0	1
ASV_678	3	1	0	0
ASV_679	3	3	0	0
ASV_680	3	1	0	2
ASV_681	2	0	0	6
ASV_682	2	3	2	2
ASV_683	2	2	2	3
ASV_684	1	0	6	3
ASV_685	1	1	5	1
ASV_686	1	0	2	0
ASV_687	0	4	0	2
ASV_688	0	2	3	6
ASV_689	0	0	10	1
ASV_690	0	0	7	2
ASV_691	0	0	7	1
ASV_692	0	0	7	0
ASV_693	0	0	4	1
ASV_694	0	0	4	0
ASV_695	0	0	3	6
ASV_696	0	0	3	4
ASV_697	0	0	3	0
ASV_698	0	0	2	3
ASV_699	0	0	1	0
ASV_700	0	0	1	6
ASV_701	0	0	1	1
ASV_702	0	0	0	2
ASV_707	8	0	0	2
ASV_708	3	4	0	0
ASV_709	3	4	0	0
ASV_710	3	1	2	1
ASV_711	2	1	2	0
ASV_712	2	1	3	2
ASV_713	2	4	1	1
ASV_714	2	2	4	0
ASV_715	2	3	2	0
ASV_716	1	1	0	1
ASV_717	1	1	1	1
ASV_718	0	4	1	1
ASV_719	0	3	0	0
ASV_720	0	2	5	1
ASV_721	0	1	1	2
ASV_722	0	0	5	1
ASV_723	0	0	5	3
ASV_724	0	0	4	6
ASV_725	0	0	3	2
ASV_726	0	0	3	4
ASV_727	0	0	2	8
ASV_728	0	0	2	1
ASV_729	0	0	2	1
ASV_730	0	0	1	0
ASV_731	0	0	1	0
ASV_732	0	0	0	1
ASV_736	5	2	0	0
ASV_737	4	1	0	1
ASV_738	4	3	0	0
ASV_739	4	1	0	0
ASV_740	3	3	0	0
ASV_741	3	2	0	0
ASV_742	3	2	0	0
ASV_743	2	2	1	0
ASV_744	2	1	2	3
ASV_745	2	0	1	0
ASV_746	1	0	6	2
ASV_747	1	0	2	1
ASV_748	1	1	2	2
ASV_749	1	2	0	1
ASV_750	1	0	4	2
ASV_751	1	2	0	1
ASV_752	1	0	0	1
ASV_753	0	6	0	0
ASV_754	0	5	0	0
ASV_755	0	1	1	6
ASV_756	0	1	4	1
ASV_757	0	0	9	0
