	T0_1_V	T0_2_V	T63_1_V	T63_2_V
KSW-C0_2_V_NODE_188_length_5942_cov_59.275692||full	12.9159613664621	14.4207359769865	12.7476071242149	14.1779057715941
KSW-C0_2_V_NODE_192_length_5868_cov_48.797351||full	9.84454138612492	12.1703353190542	6.82718491215084	6.86948971437191
KSW-C0_2_V_NODE_203_length_5778_cov_3.659619||full	6.34854536913745	9.9576669261383	2.28760527946316	1.52475460101323
KSW-C0_2_V_NODE_208_length_5721_cov_652.755559||full	13.4522272401428	16.336762553047	8.63248337920496	9.70907184009805
KSW-C0_2_V_NODE_216_length_5673_cov_5.620862||full	6.96416893893658	8.7694134771264	4.44917652283745	2.95992474203199
KSW-C0_2_V_NODE_225_length_5586_cov_6.758995||full	9.60465396636827	10.5369084736812	8.63845804391171	8.04302848321925
KSW-C0_2_V_NODE_227_length_5574_cov_23.730386||full	11.2320823678888	11.4830625566354	10.54225987177	9.6821907999939
KSW-C0_2_V_NODE_228_length_5573_cov_8.449438||full	7.99378421356972	9.7395885163387	3.00279881750719	3.48484964472557
KSW-C0_2_V_NODE_236_length_5511_cov_52.939333||full	9.86981910303901	12.8684744297479	5.62140489134478	6.5265215017306
KSW-C0_2_V_NODE_237_length_5509_cov_166.730290||full	14.3874369001301	15.0934192622579	15.6690738324403	15.5039370219634
KSW-C0_2_V_NODE_246_length_5432_cov_4.603310||full	6.66350896045413	8.93946571728653	3.00279881750719	2.95992474203199
KSW-C0_2_V_NODE_249_length_5428_cov_4.897636||full	7.66197541889465	9.09156947712854	5.73763395174998	5.97247499112596
KSW-C0_2_V_NODE_266_length_5270_cov_11197.438926||full	20.0549194785753	22.0371099880748	18.3929709333745	18.6941550877414
KSW-C0_2_V_NODE_272_length_5240_cov_17.742334||full	7.87673006636999	9.78988077043134	3.74089669879725	4.58194862144588
KSW-C0_2_V_NODE_279_length_5185_cov_3.276023||full	8.24629725547895	7.99095058252319	8.37419086660852	8.14105022479622
KSW-C0_2_V_NODE_282_length_5153_cov_13.165163||full	7.87673006636999	11.143408910042	4.7016673220298	5.86157771673797
KSW-C0_2_V_NODE_299_length_5043_cov_7.937851||full	7.23026188849817	7.80779521579728	4.06949044511228	4.14128059315282
KSW-C0_2_V_NODE_302_length_5026_cov_4.666063||full	4.85508759461615	7.72748261380806	1.52475460101323	1.52475460101323
