	T0_1_C	T0_2_C	T63_1_C	T63_2_C
KSW-C63_1_V_NODE_285_length_7449_cov_4.820665||full	3.43735863993487	2.53901901765115	2.53901901765115	2.53901901765115
KSW-C63_1_V_NODE_288_length_7401_cov_4.679690||full	2.53901901765115	4.31798476793454	4.83105319218137	4.82571182891946
KSW-C63_1_V_NODE_297_length_7242_cov_5.335049||full	2.53901901765115	4.01950501274987	4.62505266837835	3.64484888295108
KSW-C63_1_V_NODE_309_length_7148_cov_21.330326||full	4.59639582591019	4.22665873055487	4.37970386996405	5.75543524044145
KSW-C63_1_V_NODE_310_length_7147_cov_4.703751||full	2.53901901765115	2.53901901765115	3.64780911870078	4.37515032793527
KSW-C63_1_V_NODE_325_length_7049_cov_9.612382||full	2.53901901765115	3.16536571354259	3.64780911870078	2.53901901765115
KSW-C63_1_V_NODE_341_length_6931_cov_5.323735||full	4.52054547739409	4.01950501274987	2.53901901765115	3.64484888295108
KSW-C63_1_V_NODE_353_length_6822_cov_13.595833||full	3.17928590080638	2.53901901765115	2.53901901765115	2.53901901765115
KSW-C63_1_V_NODE_356_length_6793_cov_8.137281||full	3.43735863993487	3.89961208311807	3.64780911870078	4.37515032793527
KSW-C63_1_V_NODE_361_length_6769_cov_14.977361||full	3.79048013381601	4.01950501274987	5.43601094364025	4.62005218245783
KSW-C63_1_V_NODE_390_length_6558_cov_25.738736||full	4.59639582591019	3.16536571354259	5.6614931931391	5.16091300920306
KSW-C63_1_V_NODE_401_length_6451_cov_5.047217||full	3.79048013381601	4.81925992456246	7.73716852825433	7.24052190895626
KSW-C63_1_V_NODE_402_length_6445_cov_4.120031||full	2.53901901765115	2.53901901765115	2.53901901765115	3.64484888295108
KSW-C63_1_V_NODE_408_length_6424_cov_21.953682||full	3.63087240897663	3.16536571354259	4.37970386996405	4.62005218245783
KSW-C63_1_V_NODE_415_length_6398_cov_19.603027||full	2.53901901765115	3.60781406348217	3.64780911870078	4.37515032793527
KSW-C63_1_V_NODE_446_length_6168_cov_7.062326||full	3.17928590080638	2.53901901765115	2.53901901765115	4.0687847575817
KSW-C63_1_V_NODE_478_length_5928_cov_70.762813||full	4.4398690424555	4.01950501274987	4.072716156316	4.82571182891946
KSW-C63_1_V_NODE_479_length_5924_cov_9.516442||full	3.43735863993487	2.53901901765115	2.53901901765115	2.53901901765115
KSW-C63_1_V_NODE_491_length_5846_cov_3.584873||full	3.17928590080638	4.01950501274987	3.64780911870078	4.0687847575817
KSW-C63_1_V_NODE_494_length_5829_cov_4.002251||full	2.53901901765115	2.53901901765115	3.64780911870078	4.62005218245783
KSW-C63_1_V_NODE_506_length_5760_cov_17.611218||full	2.53901901765115	3.16536571354259	2.53901901765115	2.53901901765115
KSW-C63_1_V_NODE_509_length_5742_cov_3.553895||full	3.17928590080638	3.41811642011516	5.8557332264266	5.16091300920306
KSW-C63_1_V_NODE_511_length_5737_cov_66.867476||full	2.53901901765115	2.53901901765115	2.53901901765115	4.37515032793527
KSW-C63_1_V_NODE_533_length_5521_cov_8.255580||full	2.53901901765115	3.60781406348217	2.53901901765115	4.0687847575817
KSW-C63_1_V_NODE_534_length_5513_cov_4.034628||full	2.53901901765115	2.53901901765115	2.53901901765115	3.64484888295108
KSW-C63_1_V_NODE_545_length_5458_cov_5.612993||full	2.53901901765115	2.53901901765115	3.64780911870078	2.53901901765115
KSW-C63_1_V_NODE_555_length_5417_cov_3684.083551||full	7.17034370306719	7.22287613609832	11.096201402515	11.4047356075571
KSW-C63_1_V_NODE_567_length_5351_cov_6.161631||full	3.79048013381601	4.62783312435849	7.66205542408967	7.54779073294155
KSW-C63_1_V_NODE_569_length_5342_cov_6.684698||full	3.43735863993487	3.89961208311807	4.83105319218137	4.37515032793527
KSW-C63_1_V_NODE_598_length_5168_cov_6.459613||full	3.17928590080638	3.16536571354259	3.64780911870078	3.64484888295108
KSW-C63_1_V_NODE_613_length_5110_cov_4.839763||full	3.92818559683557	2.53901901765115	4.62505266837835	4.62005218245783
KSW-C63_1_V_NODE_619_length_5077_cov_5.764237||full	3.92818559683557	3.89961208311807	4.072716156316	4.0687847575817
KSW-C63_2_V_NODE_1_length_95852_cov_10.476466||full	9.4449036802921	8.29551449168801	11.2364635508609	12.5837074499515
KSW-C63_2_V_NODE_2_length_76320_cov_18.241133||full	9.59355209415831	9.38636013880959	10.1085303456275	10.02310622442
KSW-C63_2_V_NODE_3_length_73377_cov_76.935258||full	12.1073540022885	11.2623323741612	12.8926221725757	14.331695424038
KSW-C63_2_V_NODE_6_length_47699_cov_10.945261||full	2.53901901765115	2.53901901765115	7.28187920789467	7.27437440160487
KSW-C63_2_V_NODE_8_length_38542_cov_10.219763||full	10.3670524807469	10.3221256717844	9.75829841066434	9.79175693329766
KSW-C63_2_V_NODE_9_length_38173_cov_10.612676||full	2.53901901765115	2.53901901765115	7.4698692305246	6.97820814453178
KSW-C63_2_V_NODE_11_length_36397_cov_17.552116||full	9.28455271118452	9.27673907497872	10.1272543100356	10.142316451167
KSW-C63_2_V_NODE_23_length_28206_cov_7.475223||full	5.31712448502152	5.0874158047157	6.55746441800281	7.17032869198453
KSW-C63_2_V_NODE_26_length_26236_cov_6.819296||full	4.92077969664054	5.82405282724801	6.31652757952402	6.01971641983957
KSW-C63_2_V_NODE_34_length_22890_cov_9.682680||full	4.4398690424555	4.75850355598106	5.00930154551855	4.62005218245783
KSW-C63_2_V_NODE_39_length_20760_cov_22.484086||full	3.43735863993487	4.22665873055487	8.48236394328888	9.59177308394579
KSW-C63_2_V_NODE_46_length_19623_cov_19.459066||full	5.58971060260197	6.47800209727812	9.9856553229346	9.47306159986304
KSW-C63_2_V_NODE_55_length_18333_cov_6.289857||full	4.59639582591019	5.26932259596897	5.16674482212183	6.30954087369204
KSW-C63_2_V_NODE_58_length_18076_cov_9.457633||full	3.79048013381601	3.41811642011516	5.76195571657766	5.93698565630794
KSW-C63_2_V_NODE_65_length_17002_cov_14.258158||full	5.69201151043896	5.03788297150476	5.16674482212183	4.0687847575817
KSW-C63_2_V_NODE_74_length_16168_cov_4.891020||full	3.79048013381601	4.12772345370812	3.64780911870078	4.62005218245783
KSW-C63_2_V_NODE_76_length_16009_cov_7.100852||full	8.76134942644232	8.73302027565076	8.10165578625945	8.13129330707841
KSW-C63_2_V_NODE_80_length_15505_cov_7.763172||full	2.53901901765115	4.98647055545611	6.31652757952402	6.60467385415544
KSW-C63_2_V_NODE_85_length_14866_cov_1109.031801||full	6.0140791275085	6.91164956150627	10.2173935341095	10.9248183942596
KSW-C63_2_V_NODE_90_length_14539_cov_8.543772||full	8.88724744656791	8.7292416348487	8.10165578625945	7.97553512073969
KSW-C63_2_V_NODE_95_length_13956_cov_4.932811||full	3.79048013381601	3.89961208311807	5.43601094364025	5.30191295024798
KSW-C63_2_V_NODE_105_length_13455_cov_10.345004||full	3.92818559683557	3.16536571354259	4.072716156316	4.62005218245783
KSW-C63_2_V_NODE_117_length_12843_cov_6.483422||full	9.53817737098952	9.52138416535604	8.37675711543122	8.91052187464001
KSW-C63_2_V_NODE_119_length_12603_cov_8.094916||full	4.16027612107579	4.40292894456426	4.83105319218137	5.30191295024798
KSW-C63_2_V_NODE_120_length_12558_cov_7.336399||full	3.79048013381601	3.60781406348217	5.00930154551855	5.00368996020601
KSW-C63_2_V_NODE_123_length_12521_cov_8.024627||full	9.63214545127762	9.49937004220553	8.95031718752768	8.79880366064922
KSW-C63_2_V_NODE_133_length_12160_cov_19.647997||full	3.17928590080638	3.41811642011516	4.62505266837835	5.00368996020601
KSW-C63_2_V_NODE_135_length_12133_cov_25.632803||full	5.62464584665625	5.88020186177985	6.71480262110498	6.9364974844329
KSW-C63_2_V_NODE_137_length_12055_cov_7.291500||full	9.92935425277526	9.80417399051741	9.00196302342583	9.00416579701616
KSW-C63_2_V_NODE_142_length_11875_cov_59.274535||full	7.78739446277469	6.68008582812191	8.19339353398716	9.12952284862361
KSW-C63_2_V_NODE_149_length_11446_cov_5.030111||full	3.79048013381601	3.76440533681124	4.62505266837835	3.64484888295108
KSW-C63_2_V_NODE_153_length_11377_cov_12.395248||full	2.53901901765115	2.53901901765115	4.37970386996405	4.82571182891946
KSW-C63_2_V_NODE_156_length_11327_cov_8.099184||full	4.4398690424555	4.12772345370812	5.30792807924474	5.84912311788561
KSW-C63_2_V_NODE_165_length_11104_cov_4.940357||full	3.43735863993487	2.53901901765115	7.06557772963722	9.7741428836074
KSW-C63_2_V_NODE_181_length_10559_cov_5.122906||full	2.53901901765115	3.41811642011516	2.53901901765115	3.64484888295108
KSW-C63_2_V_NODE_188_length_10503_cov_9.855379||full	5.44053213045437	6.08488076311832	5.00930154551855	4.37515032793527
KSW-C63_2_V_NODE_192_length_10320_cov_39.392986||full	4.66801697375939	5.31127146911715	9.08093257718085	8.45991590197525
KSW-C63_2_V_NODE_196_length_10216_cov_9.776105||full	3.92818559683557	4.87735250262281	6.38067475005484	5.30191295024798
KSW-C63_2_V_NODE_211_length_9855_cov_9.426224||full	2.53901901765115	2.53901901765115	5.00930154551855	4.37515032793527
KSW-C63_2_V_NODE_217_length_9766_cov_4.751828||full	4.3536196692021	3.89961208311807	3.64780911870078	2.53901901765115
KSW-C63_2_V_NODE_237_length_9377_cov_5.996889||full	3.17928590080638	4.01950501274987	4.072716156316	4.62005218245783
KSW-C63_2_V_NODE_238_length_9365_cov_5.193340||full	3.92818559683557	3.89961208311807	4.83105319218137	5.54698661591734
KSW-C63_2_V_NODE_261_length_8959_cov_22.101864||full	4.3536196692021	5.35198456933807	8.26279929834937	8.14963085303231
KSW-C63_2_V_NODE_265_length_8914_cov_7.774128||full	9.62578450224505	9.5365965668891	8.59428542577628	8.85574423088868
KSW-C63_2_V_NODE_287_length_8607_cov_8.574135||full	2.53901901765115	2.53901901765115	5.16674482212183	5.54698661591734
KSW-C63_2_V_NODE_291_length_8537_cov_4.944471||full	2.53901901765115	2.53901901765115	4.072716156316	2.53901901765115
KSW-C63_2_V_NODE_302_length_8396_cov_4.963673||full	2.53901901765115	3.41811642011516	3.64780911870078	4.37515032793527
KSW-C63_2_V_NODE_317_length_8182_cov_14.287560||full	3.17928590080638	3.60781406348217	4.37970386996405	4.62005218245783
KSW-C63_2_V_NODE_319_length_8097_cov_6.024123||full	2.53901901765115	2.53901901765115	4.83105319218137	4.37515032793527
