Contig	C0_1_C	C0_2_C	C63_1_C	C63_2_C	T0_1_C	T0_2_C	T63_1_C	T63_2_C
KSW-C63_2_V_NODE_596_length_5715_cov_4.420671||full	17.272041	22.108978	7.9300785	4.27324	46.701862	62.864353	0	0
KSW-C63_2_V_NODE_621_length_5583_cov_37.929269||full	8.468244	11.397157	4.058109	7.728591	0	0	4.6434875	3.7892582
KSW-C63_2_V_NODE_626_length_5563_cov_9.444263||full	0	0	14.462519	318.55585	0	0	390.67465	533.1774
KSW-C63_2_V_NODE_634_length_5523_cov_3.299195||full	0	11.014451	0	0	8.011003	0	0	0
KSW-C63_2_V_NODE_635_length_5515_cov_10.617399||full	0	0	10.840984	273.5725	0	0	360.5757	475.7266
KSW-C63_2_V_NODE_644_length_5481_cov_13.511058||full	4.1503243	0	0	0	0	0	0	0
KSW-C63_2_V_NODE_714_length_5203_cov_5.329448||full	0	3.7310526	0	0	0	0	0	0
KSW-C63_2_V_NODE_725_length_5165_cov_13.036204||full	35.164635	48.657875	2.819683	11.680637	20.405855	51.390747	9.086593	2.2994485
KSW-C63_2_V_NODE_776_length_5018_cov_4.378400||full	0	5.9227557	4.047314	0	0	0	0	0
KSW-T0_1_V_NODE_1_length_85718_cov_15.650713||full	0	0	0	0	10.203018	0	4.384118	7.497962
KSW-T0_1_V_NODE_18_length_28102_cov_38.885014||full	9.318672	6.909401	7.7621017	2.3626761	11.959849	11.533245	0	0
KSW-T0_1_V_NODE_22_length_25887_cov_45.202036||full	25.060305	11.53367	20.200256	6.6527085	21.80319	26.226025	4.089686	4.08512
KSW-T0_1_V_NODE_69_length_15590_cov_71.346186||full	9.24789	0	6.864292	2.2309685	30.100576	22.269314	4.790609	6.0860476
KSW-T0_1_V_NODE_87_length_13801_cov_79.296159||full	0	0	0	0	0	0	0	3.2845416
KSW-T0_1_V_NODE_88_length_13781_cov_44.754626||full	17.924088	6.2345495	28.65525	11.552472	22.768295	17.12765	8.002457	8.683779
KSW-T0_1_V_NODE_89_length_13759_cov_38.742046||full	6.072167	0	0	0	11.823986	0	0	0
KSW-T0_1_V_NODE_115_length_12100_cov_59.326609||full	8.448582	0	15.074638	5.085841	9.751565	0	4.3935137	2.872026
KSW-T0_1_V_NODE_119_length_11789_cov_22.633288||full	6.2196703	4.080148	3.0918305	0	11.430415	0	0	3.2595413
KSW-T0_1_V_NODE_126_length_11419_cov_22.044087||full	4.7095656	0	0	0	0	0	0	0
KSW-T0_1_V_NODE_141_length_10699_cov_3664.102499||full	51.431507	54.171375	34.474327	25.293516	33.000614	53.06173	69.06406	55.509766
KSW-T0_1_V_NODE_232_length_8595_cov_9.036417||full	178.845	12.370225	39.16238	19.139996	0	21.28684	0	0
KSW-T0_1_V_NODE_292_length_7446_cov_7.541605||full	15.632085	20.45489	5.402319	4.176773	0	0	0	0
KSW-T0_1_V_NODE_302_length_7323_cov_14.232251||full	0	2.9168634	0	0	0	0	0	0
KSW-T0_1_V_NODE_331_length_6948_cov_6.493399||full	150.0776	11.930479	30.943426	19.550583	0	0	0	0
KSW-T0_1_V_NODE_352_length_6711_cov_32.142127||full	0	4.785743	0	0	0	0	0	0
KSW-T0_1_V_NODE_354_length_6702_cov_275.489394||full	11.919845	6.3413615	10.242507	3.6327252	0	0	0	2.1100492
KSW-T0_1_V_NODE_394_length_6277_cov_79.254581||full	0	13.0396595	0	0	0	0	0	0
KSW-T0_1_V_NODE_532_length_5545_cov_3.598725||full	30.80125	8.0410795	9.721694	4.825783	0	0	0	0
KSW-T0_1_V_NODE_595_length_5313_cov_600.031191||full	10.458002	12.678313	2.3532236	0	0	19.643038	11.58078	9.444561
KSW-T0_1_V_NODE_599_length_5291_cov_6.952254||full	0	4.740326	0	0	0	0	0	0
KSW-T0_1_V_NODE_600_length_5291_cov_4.055768||full	16.796286	3.1862938	3.9048803	0	0	0	0	0
KSW-T0_2_V_NODE_8_length_38784_cov_9.693201||full	4.2957034	7.5781198	2.9803634	0	0	0	0	0
KSW-T0_2_V_NODE_11_length_36393_cov_33.291348||full	21.564955	11.690994	18.019379	6.134995	20.939663	22.894274	3.5213938	3.6871367
KSW-T0_2_V_NODE_16_length_32476_cov_7.951945||full	0	0	0	0	0	0	2.6781428	3.7864027
KSW-T0_2_V_NODE_29_length_22412_cov_20.699199||full	6.617084	5.614806	6.795945	0	9.93013	0	0	0
KSW-T0_2_V_NODE_47_length_14930_cov_7.447462||full	4.075885	0	0	0	0	0	0	0
KSW-T0_2_V_NODE_65_length_11864_cov_29.195698||full	9.014383	9.3938	9.480741	2.790615	14.917132	16.721428	3.369673	0
KSW-T0_2_V_NODE_86_length_10825_cov_75.871216||full	7.067766	0	13.869096	5.1253476	11.025767	0	0	0
