OUT	C0_1	C0_2	C63_1	C63_2	T0_1	T0_2	T63_1	T63_2
Prokaryotic_ASV_273	0	0	0	0	0	2	34	28
Prokaryotic_ASV_274	8	9	5	2	9	6	0	0
Prokaryotic_ASV_275	0	0	1	1	0	0	32	22
Prokaryotic_ASV_276	12	6	0	0	15	15	0	0
Prokaryotic_ASV_277	7	4	20	13	5	8	1	3
Prokaryotic_ASV_278	1	0	0	9	0	0	27	23
Prokaryotic_ASV_279	3	0	0	15	1	0	38	9
Prokaryotic_ASV_280	27	5	2	3	0	3	2	1
Prokaryotic_ASV_281	6	17	1	10	13	5	2	2
Prokaryotic_ASV_282	10	13	5	1	13	5	0	0
Prokaryotic_ASV_283	7	1	0	0	14	11	0	0
Prokaryotic_ASV_284	11	4	22	6	0	13	0	0
Prokaryotic_ASV_285	0	0	27	5	0	0	24	12
Prokaryotic_ASV_286	7	14	3	4	9	12	0	0
Prokaryotic_ASV_287	2	8	11	6	14	6	7	5
Prokaryotic_ASV_288	6	2	9	13	3	5	1	0
Prokaryotic_ASV_289	3	0	32	1	0	0	0	0
Prokaryotic_ASV_290	1	0	2	0	3	19	5	6
Prokaryotic_ASV_291	0	0	1	8	0	0	18	28
Prokaryotic_ASV_292	0	0	1	7	0	0	13	33
Prokaryotic_ASV_293	0	0	0	0	20	23	3	1
Prokaryotic_ASV_294	9	9	5	0	2	16	3	0
Prokaryotic_ASV_295	0	0	17	5	9	0	16	9
Prokaryotic_ASV_296	0	0	0	0	0	0	22	29
Prokaryotic_ASV_297	18	5	0	0	16	12	0	0
Prokaryotic_ASV_298	10	6	1	0	12	4	0	0
Prokaryotic_ASV_299	0	0	3	10	2	0	23	17
Prokaryotic_ASV_300	8	13	0	0	2	0	0	0
Prokaryotic_ASV_301	0	0	24	16	1	0	10	5
Prokaryotic_ASV_302	0	0	5	8	0	0	11	24
Prokaryotic_ASV_303	0	0	0	0	0	0	29	35
Prokaryotic_ASV_304	0	0	8	8	0	0	21	19
Prokaryotic_ASV_305	0	4	0	3	2	2	7	37
Prokaryotic_ASV_306	18	5	7	0	8	11	0	0
Prokaryotic_ASV_307	0	0	0	4	3	4	30	14
Prokaryotic_ASV_308	0	0	0	0	16	19	0	3
Prokaryotic_ASV_309	8	4	0	0	2	25	0	2
Prokaryotic_ASV_310	6	3	3	4	4	11	3	1
Prokaryotic_ASV_311	11	17	0	0	6	6	0	1
Prokaryotic_ASV_312	0	1	20	8	0	1	2	4
Prokaryotic_ASV_313	0	0	12	18	0	0	8	3
Prokaryotic_ASV_314	0	0	0	1	1	0	43	11
Prokaryotic_ASV_315	12	12	0	0	9	7	0	0
Prokaryotic_ASV_316	8	4	27	0	0	0	0	0
Prokaryotic_ASV_317	1	0	0	2	14	30	7	6
Prokaryotic_ASV_318	7	8	1	0	5	4	0	1
Prokaryotic_ASV_319	2	1	25	0	0	2	0	4
Prokaryotic_ASV_320	0	2	0	0	0	0	8	16
Prokaryotic_ASV_321	0	0	4	0	0	0	23	18
Prokaryotic_ASV_322	0	1	3	18	0	0	14	5
Prokaryotic_ASV_323	0	0	17	17	0	0	1	0
Prokaryotic_ASV_324	0	0	1	9	0	0	17	18
Prokaryotic_ASV_325	0	0	0	1	1	4	7	24
Prokaryotic_ASV_326	7	9	0	0	4	5	0	5
Prokaryotic_ASV_327	8	11	0	0	8	6	0	0
Prokaryotic_ASV_328	7	5	12	10	2	2	4	1
Prokaryotic_ASV_329	10	9	0	1	7	8	0	0
Prokaryotic_ASV_330	3	4	0	0	7	3	0	11
Prokaryotic_ASV_331	8	8	6	0	14	5	0	0
Prokaryotic_ASV_332	5	4	2	2	4	9	0	0
Prokaryotic_ASV_333	1	1	7	13	1	8	1	0
Prokaryotic_ASV_334	0	0	14	4	0	0	5	14
Prokaryotic_ASV_335	0	0	0	0	10	10	0	1
Prokaryotic_ASV_336	7	5	1	0	3	9	0	0
Prokaryotic_ASV_337	7	6	6	3	4	4	0	0
Prokaryotic_ASV_338	0	0	0	7	0	3	13	9
Prokaryotic_ASV_339	17	7	0	0	1	7	0	0
Prokaryotic_ASV_340	16	6	0	2	2	1	0	0
Prokaryotic_ASV_341	11	14	0	0	3	5	0	0
Prokaryotic_ASV_342	7	2	5	3	5	1	1	0
Prokaryotic_ASV_343	0	0	15	18	0	0	4	2
Prokaryotic_ASV_344	8	7	0	0	5	5	0	3
Prokaryotic_ASV_345	9	7	0	2	5	4	0	0
Prokaryotic_ASV_346	12	8	0	0	10	7	0	0
Prokaryotic_ASV_347	7	9	3	0	5	7	0	0
Prokaryotic_ASV_348	1	2	15	0	0	0	10	10
Prokaryotic_ASV_349	3	0	3	13	0	0	5	6
Prokaryotic_ASV_350	0	0	23	24	0	0	2	2
Prokaryotic_ASV_351	4	6	0	4	13	3	0	0
Prokaryotic_ASV_352	4	1	0	5	0	1	20	11
Prokaryotic_ASV_353	0	0	11	13	0	3	3	2
Prokaryotic_ASV_354	0	7	8	4	3	4	2	0
Prokaryotic_ASV_355	0	0	7	3	0	0	5	23
Prokaryotic_ASV_356	0	0	7	2	2	0	14	7
Prokaryotic_ASV_357	1	0	9	8	0	0	9	12
Prokaryotic_ASV_358	0	0	2	1	0	0	9	19
Prokaryotic_ASV_359	0	0	8	21	0	0	6	2
Prokaryotic_ASV_360	0	0	0	3	1	2	22	9
Prokaryotic_ASV_361	0	0	0	1	0	0	39	4
Prokaryotic_ASV_362	0	0	0	0	0	0	19	18
Prokaryotic_ASV_363	10	12	2	0	5	1	0	0
Prokaryotic_ASV_364	4	6	0	3	12	6	0	1
Prokaryotic_ASV_365	7	5	2	2	6	15	0	0
Prokaryotic_ASV_366	0	0	8	14	0	0	16	2
Prokaryotic_ASV_367	0	3	10	10	0	0	2	5
Prokaryotic_ASV_368	0	0	7	7	1	3	16	4
Prokaryotic_ASV_369	0	0	3	18	0	2	15	8
Prokaryotic_ASV_370	10	10	0	0	5	1	0	0
Prokaryotic_ASV_371	10	13	0	0	0	8	0	0
Prokaryotic_ASV_372	5	6	3	3	9	3	3	0
Prokaryotic_ASV_373	6	6	0	2	4	10	0	0
Prokaryotic_ASV_374	1	4	17	15	0	0	0	2
Prokaryotic_ASV_375	0	0	34	0	0	0	0	1
Prokaryotic_ASV_376	0	0	22	8	0	0	0	0
Prokaryotic_ASV_377	0	0	0	1	0	0	17	17
Prokaryotic_ASV_378	0	0	0	0	5	0	18	22
Prokaryotic_ASV_379	5	11	2	2	3	5	0	0
Prokaryotic_ASV_380	5	2	9	1	5	1	0	1
Prokaryotic_ASV_381	5	10	1	0	2	11	0	0
Prokaryotic_ASV_382	0	0	7	2	0	0	15	13
Prokaryotic_ASV_383	0	0	0	0	0	0	12	27
Prokaryotic_ASV_384	5	8	2	0	3	11	2	2
Prokaryotic_ASV_385	4	14	2	3	3	8	2	0
Prokaryotic_ASV_386	1	2	11	12	0	0	12	2
Prokaryotic_ASV_387	0	0	9	18	0	1	1	3
Prokaryotic_ASV_388	0	0	6	3	0	0	9	17
Prokaryotic_ASV_389	0	0	2	0	0	1	14	16
Prokaryotic_ASV_390	0	0	6	2	1	0	12	10
Prokaryotic_ASV_391	0	0	0	1	13	18	6	3
Prokaryotic_ASV_392	0	0	0	1	1	0	9	22
Prokaryotic_ASV_393	7	4	1	0	7	1	0	0
Prokaryotic_ASV_394	3	2	6	3	5	6	0	0
Prokaryotic_ASV_395	2	1	2	9	2	7	5	5
Prokaryotic_ASV_396	0	0	7	17	0	1	5	4
Prokaryotic_ASV_397	10	7	0	0	2	4	0	0
Prokaryotic_ASV_398	5	5	0	0	3	3	0	0
Prokaryotic_ASV_399	3	2	2	2	3	6	0	0
Prokaryotic_ASV_400	6	6	3	0	7	6	1	0
Prokaryotic_ASV_401	5	4	0	0	2	5	0	0
Prokaryotic_ASV_402	0	4	9	5	2	3	3	0
Prokaryotic_ASV_403	0	0	3	1	0	0	5	12
Prokaryotic_ASV_404	0	0	0	0	7	6	4	1
Prokaryotic_ASV_405	6	8	3	0	5	3	0	0
Prokaryotic_ASV_406	6	4	3	0	10	3	0	2
Prokaryotic_ASV_407	6	10	0	0	7	1	0	0
Prokaryotic_ASV_408	5	9	8	1	4	3	0	0
Prokaryotic_ASV_409	0	4	0	1	0	1	15	17
Prokaryotic_ASV_410	0	0	30	2	0	0	0	0
Prokaryotic_ASV_411	12	7	0	0	2	8	0	0
Prokaryotic_ASV_412	5	2	6	3	3	0	0	0
Prokaryotic_ASV_413	0	0	25	2	4	0	2	2
Prokaryotic_ASV_414	0	0	4	0	0	0	5	18
Prokaryotic_ASV_415	0	0	0	13	0	2	13	2
Prokaryotic_ASV_416	11	3	0	0	3	4	0	0
Prokaryotic_ASV_417	5	1	1	0	4	4	0	2
Prokaryotic_ASV_418	7	5	0	0	5	9	0	0
Prokaryotic_ASV_419	2	5	0	3	3	3	1	2
Prokaryotic_ASV_420	1	8	12	3	0	3	0	0
Prokaryotic_ASV_421	0	0	0	0	5	6	5	3
Prokaryotic_ASV_422	0	0	0	6	0	0	29	1
Prokaryotic_ASV_423	6	9	0	0	2	7	0	0
Prokaryotic_ASV_424	6	8	0	0	2	11	0	0
