vMAGs	profile	Kingdom	Phylum	Class	Order	Family
KSW-V-k141_988256	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_976457	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S1C5380	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S3C14375	Classified	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae
KSW-V-S7C14892	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-C63_1-NODE_258_length_7864_cov_13.649763||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_362741||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S2C19453	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S1C19589	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-S5C18377	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-C0_1-NODE_135_length_7789_cov_7.799845	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-V-k141_906127||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S6C11799	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_606319	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-V-S7C12505	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-S5C4711	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-C0_2-NODE_103_length_7657_cov_4.429755||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_366076	Classified	Viruses	Others	Herviviricetes	Herpesvirales	Herpesviridae
KSW-V-k141_73458	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-V-S4C1589	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-S6C13424	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S6C2028	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S1C3436	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_149205	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-S5C2064	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_278602	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_752119||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_947437||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-C0_2-NODE_111_length_7426_cov_20.893366	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-C0_2-NODE_112_length_7421_cov_116.015884||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_77692||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S3C5651	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-k141_12060	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_318151	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-T63_2-NODE_914_length_7491_cov_7.727004||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-S6C18729	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_510792	Classified	Viruses	Nucleocytoviricota	Pokkesviricetes	Chitovirales	Poxviridae
KSW-V-S1C97	Classified	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	unclassified Nucleocytoviricota
KSW-V-k141_28620||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-k141_99672||full	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S7C3095	Unclassified	Viruses	NA	NA	NA	NA
KSW-V-S3C1396	Unclassified	Viruses	NA	NA	NA	NA
