vMAGs	Kingdom	Phylum	Class	Order	Family
KSW-V-S5C2064	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-C0_2-NODE_111_length_7426_cov_20.893366	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-C0_2-NODE_112_length_7421_cov_116.015884||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_77692||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-S3C5651	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-k141_318151	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-V-S6C18729	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_99672||full	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-V-k141_650996||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	other_Caudovirales
KSW-V-S2C19805	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
