vOTUs	profile	Kindom	Phylum	Class	Order	Family
KSW-cf_coassembly_k141_2800572||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-vf_coassembly_k141_308882||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-vf_coassembly_k141_40347||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae
KSW-cf_coassembly_k141_2000095	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_2381462||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-T72_2_C_NODE_3858_length_13256_cov_43.974926||full	Unclassified	Viruses	NA	NA	NA	NA
KSW-vf_coassembly_k141_397326	Classified	Viruses	Phixviricota	Malgrandaviricetes	Petitvirales	Microviridae
KSW-cf_coassembly_k141_2867694||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae
KSW-cf_coassembly_k141_3817069||full	Classified	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae
KSW-C72_2_V_NODE_109_length_13211_cov_5.002508	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-C72_1_C_NODE_3448_length_13211_cov_24.409319||full	Classified	Viruses	Nucleocytoviricota	UNCLASSIFIED	UNCLASSIFIED	unclassified Nucleocytoviricota
KSW-T72_1_V_NODE_217_length_13462_cov_7.601328||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unclassified Caudovirales
KSW-vf_coassembly_k141_696899||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-T72_2_C_NODE_3876_length_13202_cov_4.770366	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-cf_coassembly_k141_2570540||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-T72_1_V_NODE_226_length_13197_cov_43.835641	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-vf_coassembly_k141_192408||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unclassified Caudovirales
KSW-vf_coassembly_k141_684816	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unclassified Caudovirales
KSW-cf_coassembly_k141_1356393||full	Classified	Viruses	Uroviricota	Caudoviricetes	Caudovirales	unclassified Caudovirales
