vOTUs	Kindom	Phylum	Class	Order	Family
KSW-T72_2_C_NODE_2062_length_19909_cov_7.139720||full	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae
KSW-T72_2_V_NODE_151_length_19903_cov_66.345476||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-cf_coassembly_k141_3873282	Viruses	Uroviricota	Caudoviricetes	Caudovirales	other_Caudovirales
KSW-C0_2_V_NODE_16_length_19884_cov_25.608755||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-cf_coassembly_k141_4001||full	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae
KSW-vf_coassembly_k141_303572||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Podoviridae
KSW-cf_coassembly_k141_2587714||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	other_Caudovirales
KSW-megahit_k141_825353||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae
KSW-T72_1_V_NODE_97_length_19859_cov_59.681832||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	other_Caudovirales
KSW-cf_coassembly_k141_3778200	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-vf_coassembly_k141_666145||full	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae
KSW-T72_1_V_NODE_95_length_20027_cov_23.512167||full	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae
KSW-cf_coassembly_k141_1789528||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-C0_2_C_NODE_1508_length_20402_cov_7.458790||full	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae
KSW-cf_coassembly_k141_1895907||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_2315581	Viruses	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae
KSW-megahit_k141_368863||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	other_Caudovirales
KSW-cf_coassembly_k141_2319586||full	Viruses	Nucleocytoviricota	Megaviricetes	UNCLASSIFIED	other_Nucleocytoviricota
KSW-vf_coassembly_k141_421791||full	Viruses	Nucleocytoviricota	Megaviricetes	Pimascovirales	other_Nucleocytoviricota
KSW-cf_coassembly_k141_523244||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	other_Caudovirales
KSW-C0_2_C_NODE_1572_length_19793_cov_12.444878||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-C0_2_C_NODE_1571_length_19797_cov_25.735994||full	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
KSW-cf_coassembly_k141_1196237||full	Viruses	Nucleocytoviricota	Megaviricetes	Imitervirales	Mimiviridae
KSW-cf_coassembly_k141_309247	Viruses	Uroviricota	Caudoviricetes	Caudovirales	Myoviridae
