Contig	C0_1_V	C0_2_V	C63_1_V	C63_2_V	T0_1_V	T0_2_V	T63_1_V	T63_2_V
KSW-C63_1_V_NODE_6_length_39025_cov_10.540672||full	3.711446	0	7.5232496	6.0403504	9.84166	5.335622	5.241042	5.7002416
KSW-C63_1_V_NODE_15_length_28017_cov_8.965703||full	0	0	5.932624	1.5048103	3.9429002	0	4.5567026	1.4720038
KSW-C63_1_V_NODE_16_length_27726_cov_176.069531||full	44.72138	58.652603	100.81592	79.82345	102.269424	38.37826	80.62456	59.475544
KSW-C63_1_V_NODE_17_length_25854_cov_56.078491||full	39.05858	6.9028673	23.476765	35.127747	48.350674	23.624966	24.979965	19.69832
KSW-C63_1_V_NODE_25_length_23667_cov_13.812595||full	13.496567	16.511272	7.624669	7.6585927	20.56035	8.949931	5.400314	3.5161154
KSW-C63_1_V_NODE_27_length_22595_cov_21.410914||full	0	0	16.718256	3.2597966	1.8628691	0	26.903812	18.515457
KSW-C63_1_V_NODE_38_length_18895_cov_10.686837||full	5.4023595	2.274073	5.0873165	4.6857285	9.609645	1.5824376	3.6401372	1.7608819
KSW-C63_1_V_NODE_43_length_17848_cov_6.350587||full	5.8260574	3.7873948	4.726864	3.8137262	6.1244736	1.5850121	3.820988	1.2310989
KSW-C63_1_V_NODE_47_length_17634_cov_152.295296||full	184.41672	113.090614	130.16307	120.64967	207.5242	85.13831	96.03784	53.3189
KSW-C63_1_V_NODE_62_length_15160_cov_877.088514||full	209.74126	89.41625	710.3337	4066.8083	119.802444	44.396812	8188.5938	3088.3306
KSW-C63_1_V_NODE_64_length_15059_cov_12.163090||full	11.049415	9.372547	7.7505803	7.6579766	11.25158	6.8401155	4.519177	3.001073
KSW-C63_1_V_NODE_66_length_14776_cov_17.037294||full	0	2.74935	11.659038	4.523638	6.9997196	0.9514212	7.66912	4.5224867
KSW-C63_1_V_NODE_72_length_14259_cov_5.976415||full	0	2.1193957	4.440414	5.8731236	4.062688	0	6.367456	3.0272079
KSW-C63_1_V_NODE_75_length_14114_cov_9.701970||full	3.3044133	0	6.994744	3.885325	4.8746963	0	17.018826	8.068117
KSW-C63_1_V_NODE_76_length_14099_cov_10.736115||full	0	4.6787076	7.6287904	2.3507574	6.644687	1.7600849	3.420264	2.0715954
KSW-C63_1_V_NODE_78_length_13993_cov_14.679438||full	19.344389	6.4626284	9.2754135	9.107183	14.313626	6.5411854	7.526349	4.611609
KSW-C63_1_V_NODE_82_length_13870_cov_3.241260||full	0	0	3.1477182	0	1.3380198	0	0.65198165	0
KSW-C63_1_V_NODE_83_length_13799_cov_50.324796||full	0	0	29.832712	13.511446	0	0	12.805054	26.374775
KSW-C63_1_V_NODE_88_length_13464_cov_10.686256||full	0	0	7.523482	2.4724905	5.0940137	0	3.4077044	2.3139653
KSW-C63_1_V_NODE_100_length_12227_cov_9.707033||full	10.737024	9.489372	7.3184514	3.7152262	8.6813345	6.6007004	2.1263669	2.6217282
KSW-C63_1_V_NODE_103_length_11957_cov_18.367753||full	0	0	8.486811	3.7565436	5.9094577	0	7.6239443	4.7314696
KSW-C63_1_V_NODE_104_length_11951_cov_7.146772||full	2.977521	4.296786	6.022908	6.2437515	11.930854	1.7717978	5.1155357	3.9369028
KSW-C63_1_V_NODE_113_length_11624_cov_34.770853||full	4.131621	0	15.972953	12.969064	11.547122	8.46692	15.46368	18.505238
KSW-C63_1_V_NODE_135_length_10594_cov_3.923617||full	4.5321474	2.3618317	3.656478	2.278784	6.066258	0	8.045751	3.269337
KSW-C63_1_V_NODE_137_length_10566_cov_116.858529||full	16.398357	0	76.82009	43.9702	28.29417	27.151548	22.626156	40.885563
KSW-C63_1_V_NODE_138_length_10558_cov_6.083976||full	0	4.125387	5.8868847	2.8557744	5.9385996	0	4.952366	2.656968
