vMAGs	sample
KSW-V-S2C10856	KSW-VF
KSW-V-S2C1173	KSW-VF
KSW-V-S2C11900	KSW-VF
KSW-V-S2C1213	KSW-VF
KSW-V-S2C12754	KSW-VF
KSW-V-S2C13810	KSW-VF
KSW-V-S2C14429	KSW-VF
KSW-V-S2C14466	KSW-VF
KSW-V-S2C14865	KSW-VF
KSW-V-S2C15441	KSW-VF
KSW-V-S2C15526	KSW-VF
KSW-V-S2C16250	KSW-VF
KSW-V-S2C16558	KSW-VF
KSW-V-S2C17439	KSW-VF
KSW-V-S2C1744	KSW-VF
KSW-V-S2C17905	KSW-VF
KSW-V-S2C18446	KSW-VF
KSW-V-S2C18913	KSW-VF
KSW-V-S2C18985	KSW-VF
KSW-V-S2C19129	KSW-VF
KSW-V-S2C19401	KSW-VF
KSW-V-S2C19453	KSW-VF
KSW-V-S2C19589	KSW-VF
KSW-V-S2C19805	KSW-VF
