Contig	S12_0_3	S12_12_15	S12_21_24	S3_0_3	S3_12_15	S3_21_24	S9_0_3	S9_12_15	S9_21_24
KSD-NODE_5300_length_7666_cov_5.197215||full	9.683082	0	12.750865	0	0	4.236431	17.632515	0	8.158028
KSD-NODE_5326_length_7638_cov_5.143743||full	14.501968	0	0	0	0	0	0	0	0
KSD-NODE_5446_length_7545_cov_8.489720||full	23.310495	44.551292	27.279207	0	6.587453	5.3894725	0	25.295681	29.130342
KSD-NODE_5466_length_7533_cov_5.310377||full	14.517236	3.6226573	11.392864	0	0	4.04747	0	0	0
KSD-NODE_5609_length_7415_cov_4.954348||full	11.734428	3.348667	8.845918	0	0	0	0	0	0
KSD-NODE_5640_length_7389_cov_4.441369||full	12.554509	0	0	0	0	0	0	0	0
KSD-NODE_5665_length_7374_cov_4.022681||full	6.794205	0	0	0	0	0	0	0	0
KSD-NODE_5693_length_7351_cov_4.549890||full	12.619426	5.269433	3.5526786	0	0	2.9544544	0	8.62422	10.289243
KSD-NODE_5702_length_7343_cov_3.976811||full	10.547493	2.6934643	8.735777	0	0	0	0	0	0
KSD-NODE_5713_length_7336_cov_7.850845||full	6.9867854	6.2398767	12.164351	0	0	0	0	7.139225	11.106216
KSD-NODE_5780_length_7293_cov_5.131528||full	14.8844795	4.070764	10.968731	0	0	3.2231545	0	0	0
KSD-NODE_5797_length_7276_cov_4.219776||full	11.714565	0	0	0	0	0	0	0	0
KSD-NODE_5806_length_7267_cov_10.358014||full	27.519161	9.33579	46.783546	0	20.999903	13.351547	0	14.3236475	25.833296
KSD-NODE_5975_length_7130_cov_4.703746||full	11.95612	0	4.024919	0	0	0	0	6.644376	10.481981
KSD-NODE_6053_length_7078_cov_5.336466||full	15.379066	0	0	0	0	0	0	0	0
KSD-NODE_6054_length_7077_cov_6.907291||full	19.031158	0	0	0	0	0	0	0	0
KSD-NODE_6058_length_7074_cov_5.017524||full	9.314995	0	3.2768292	0	0	0	0	0	0
KSD-NODE_6068_length_7067_cov_5.883485||full	16.282692	0	0	0	0	0	0	0	0
KSD-NODE_6083_length_7058_cov_4.617592||full	12.924685	7.040258	9.715339	0	0	0	0	0	0
KSD-NODE_6098_length_7048_cov_4.160303||full	6.999499	0	0	0	0	0	0	0	0
KSD-NODE_6125_length_7025_cov_5.756958||full	14.733916	0	0	0	0	0	0	0	0
KSD-NODE_6135_length_7016_cov_6.875880||full	19.362705	0	0	0	0	0	0	0	0
KSD-NODE_6200_length_6967_cov_4.270544||full	11.8798895	2.8986504	0	0	9.298979	7.5611067	0	0	0
KSD-NODE_6227_length_6954_cov_7.337875||full	20.362959	5.5345564	0	0	0	0	0	0	0
KSD-NODE_6231_length_6952_cov_6.367841||full	17.123396	0	0	0	0	0	0	0	0
KSD-NODE_6250_length_6939_cov_12.080331||full	31.183275	24.462942	14.092517	0	6.8767605	8.912479	0	12.383548	24.963812
KSD-NODE_6293_length_6915_cov_5.395918||full	15.271996	0	0	0	0	0	0	0	0
KSD-NODE_6341_length_6887_cov_2.941306||full	4.4386997	1.7366923	3.529797	0	0	0	0	0	0
KSD-NODE_6366_length_6867_cov_3.579712||full	10.293458	0	0	0	0	0	0	0	0
KSD-NODE_6472_length_6785_cov_5.194205||full	11.383883	0	2.4778922	0	0	0	0	8.657917	10.101589
KSD-NODE_6530_length_6757_cov_4.753954||full	13.582012	8.129489	8.247462	0	10.040687	12.137922	0	0	12.243421
KSD-NODE_6538_length_6751_cov_3.611708||full	9.8844185	0	0	0	0	0	0	0	0
KSD-NODE_6541_length_6749_cov_4.603526||full	13.114374	0	0	0	0	0	0	0	0
KSD-NODE_6555_length_6735_cov_12.947305||full	25.557583	17.695799	26.535671	0	11.923469	18.170198	0	0	0
KSD-NODE_6567_length_6730_cov_4.344419||full	11.60396	0	0	0	0	0	0	0	0
KSD-NODE_6585_length_6722_cov_4.081146||full	10.918592	0	0	0	0	0	0	0	0
KSD-NODE_6597_length_6714_cov_4.353657||full	11.978332	0	0	0	0	0	0	0	0
KSD-NODE_6606_length_6710_cov_6.115101||full	16.86208	0	0	0	0	0	0	0	0
KSD-NODE_6647_length_6685_cov_2.831222||full	8.019002	0	0	0	0	0	0	0	0
