	C0_1_C	C0_2_C	C63_1_C	C63_2_C
KSW-C63_1_V_NODE_533_length_5521_cov_8.255580||full	5.62208948385052	6.1232431106418	4.09783305196449	4.1215138010276
KSW-C63_1_V_NODE_534_length_5513_cov_4.034628||full	2.5317251510737	3.15203005540446	2.5317251510737	2.5317251510737
KSW-C63_1_V_NODE_545_length_5458_cov_5.612993||full	3.25296471822983	2.5317251510737	2.5317251510737	2.5317251510737
KSW-C63_1_V_NODE_555_length_5417_cov_3684.083551||full	9.14548066351138	9.23118853129963	9.74430352402472	10.3783563666066
KSW-C63_1_V_NODE_567_length_5351_cov_6.161631||full	6.40854921734746	6.85165676927574	7.14473130422273	8.6837661140543
KSW-C63_1_V_NODE_569_length_5342_cov_6.684698||full	5.21829258124888	5.32341131217673	5.43756838894754	5.24215575814538
KSW-C63_1_V_NODE_598_length_5168_cov_6.459613||full	3.25296471822983	2.5317251510737	2.5317251510737	2.5317251510737
KSW-C63_1_V_NODE_603_length_5138_cov_2.837104||full	3.25296471822983	2.5317251510737	2.5317251510737	2.5317251510737
KSW-C63_1_V_NODE_613_length_5110_cov_4.839763||full	4.08517143508171	3.74577306151715	5.74142588775251	5.0816541107066
KSW-C63_1_V_NODE_619_length_5077_cov_5.764237||full	5.09578228186981	5.1535802669269	5.25656688517803	4.1215138010276
KSW-C63_2_V_NODE_1_length_95852_cov_10.476466||full	9.35830168746176	8.21940819262008	9.43033873550843	9.45599169631576
KSW-C63_2_V_NODE_2_length_76320_cov_18.241133||full	10.4887924373398	10.7790455563639	9.5794161531574	11.4239613144308
KSW-C63_2_V_NODE_3_length_73377_cov_76.935258||full	12.1583217038312	10.6119717439568	12.8175688206531	12.4789633231764
KSW-C63_2_V_NODE_6_length_47699_cov_10.945261||full	2.5317251510737	2.5317251510737	9.00052235674504	9.73099150372008
KSW-C63_2_V_NODE_8_length_38542_cov_10.219763||full	10.8852626329102	10.8341329957337	11.598417161364	11.0304798259591
KSW-C63_2_V_NODE_9_length_38173_cov_10.612676||full	3.25296471822983	2.5317251510737	8.56788361506672	9.31365997261087
KSW-C63_2_V_NODE_11_length_36397_cov_17.552116||full	10.4143087595383	9.99288506575963	10.3562521965058	10.348606125914
KSW-C63_2_V_NODE_23_length_28206_cov_7.475223||full	7.84426623711711	8.21414184488817	7.54400606656584	7.27560212982929
KSW-C63_2_V_NODE_26_length_26236_cov_6.819296||full	7.09534080473062	7.9098105854079	6.47240514599522	6.99696943415374
KSW-C63_2_V_NODE_34_length_22890_cov_9.682680||full	5.62208948385052	6.1232431106418	4.3145874887721	4.68888125033889
KSW-C63_2_V_NODE_39_length_20760_cov_22.484086||full	4.54951503497976	4.60300254416928	10.5685323019596	11.7637216292415
KSW-C63_2_V_NODE_46_length_19623_cov_19.459066||full	8.68427536148377	9.12297901335527	9.3046076128293	10.7011521083703
KSW-C63_2_V_NODE_55_length_18333_cov_6.289857||full	6.191442042223	6.95649403352791	4.80169187227425	5.63522557815563
KSW-C63_2_V_NODE_58_length_18076_cov_9.457633||full	5.21829258124888	4.73290151728729	3.82991977538708	5.38587903885437
