	T0_1	T0_2	T63_1	T63_2
ASV_773	1	2	1	0
ASV_774	3	1	0	0
ASV_775	3	3	0	0
ASV_776	2	1	0	0
ASV_777	0	0	1	4
ASV_778	1	3	1	0
ASV_779	2	0	2	0
ASV_780	1	2	2	1
ASV_781	4	0	1	1
ASV_782	0	1	0	0
ASV_784	0	0	3	0
ASV_786	2	4	0	0
ASV_787	0	0	5	1
ASV_788	5	2	0	0
ASV_789	0	0	3	3
ASV_790	0	0	1	0
ASV_792	2	0	0	0
ASV_795	0	0	1	2
ASV_796	2	0	1	1
ASV_797	0	4	0	1
ASV_798	0	0	1	3
ASV_799	1	0	0	5
ASV_800	0	0	1	1
ASV_801	0	0	1	3
ASV_802	0	0	7	0
ASV_803	2	2	1	3
ASV_804	2	0	5	1
ASV_805	1	3	3	1
ASV_806	1	2	1	4
ASV_807	0	0	3	5
ASV_808	0	0	2	6
ASV_809	2	0	0	0
ASV_810	0	1	0	0
ASV_811	2	1	0	0
ASV_812	1	2	0	0
ASV_813	4	1	0	0
ASV_815	4	1	0	0
ASV_816	2	1	0	0
ASV_817	0	2	0	0
ASV_818	0	0	1	0
ASV_819	3	2	0	0
ASV_820	2	2	0	0
ASV_821	3	1	1	0
ASV_822	2	1	0	0
ASV_823	0	0	1	1
ASV_824	0	1	0	0
ASV_825	0	0	1	0
ASV_827	2	1	0	0
ASV_828	0	0	2	4
ASV_829	0	1	0	0
ASV_830	0	1	0	1
ASV_831	0	0	1	0
ASV_832	0	1	0	0
ASV_833	0	0	2	3
ASV_834	0	0	3	2
ASV_835	0	0	2	0
ASV_836	4	0	1	2
ASV_837	2	0	3	2
ASV_838	2	4	0	1
ASV_839	0	0	7	0
ASV_840	0	0	2	5
ASV_841	0	1	0	0
ASV_843	2	0	0	0
ASV_844	2	0	0	0
ASV_845	1	0	0	0
ASV_847	0	2	0	0
ASV_848	0	5	0	0
ASV_849	0	2	1	1
ASV_851	0	3	0	0
ASV_852	2	0	0	0
ASV_853	0	3	0	0
ASV_854	2	1	0	0
ASV_855	0	1	0	0
ASV_857	0	0	0	2
ASV_858	0	1	1	0
ASV_861	0	0	2	0
ASV_862	0	0	2	2
ASV_863	0	0	2	0
ASV_864	0	0	1	1
ASV_865	0	0	3	1
ASV_866	0	2	2	0
ASV_867	0	0	0	3
ASV_868	0	0	0	3
ASV_869	1	1	1	1
ASV_870	3	3	0	0
ASV_871	1	5	0	0
ASV_872	1	4	0	1
ASV_873	0	3	1	2
ASV_874	0	0	6	0
ASV_875	0	0	3	3
ASV_876	0	0	2	4
ASV_877	0	0	0	6
ASV_880	0	1	0	0
ASV_881	1	1	0	0
ASV_883	0	0	0	2
ASV_884	0	2	2	0
ASV_885	2	0	0	0
ASV_886	0	2	0	0
ASV_887	0	0	1	1
ASV_888	0	1	0	0
ASV_889	2	1	0	0
ASV_890	1	2	0	0
ASV_892	0	1	1	1
ASV_893	0	0	1	0
ASV_894	0	0	4	0
ASV_895	2	0	1	0
ASV_899	2	0	0	1
ASV_900	0	4	0	0
ASV_901	0	0	3	0
ASV_902	0	4	0	0
ASV_903	1	0	0	0
ASV_904	1	1	0	1
ASV_906	0	0	0	1
ASV_907	0	0	1	0
ASV_908	0	1	0	0
ASV_909	0	0	0	1
ASV_910	0	1	0	1
ASV_911	0	0	0	1
ASV_912	0	0	0	2
ASV_913	0	0	2	1
ASV_914	0	0	1	1
ASV_915	0	0	2	0
ASV_916	0	0	0	2
ASV_917	0	0	2	0
ASV_918	0	0	2	1
ASV_919	0	0	1	1
ASV_921	0	0	1	3
ASV_922	0	0	1	0
ASV_923	0	0	0	1
ASV_924	0	0	1	0
ASV_925	0	0	1	3
ASV_926	0	0	0	4
ASV_927	0	0	3	1
ASV_928	5	0	0	0
ASV_929	3	1	1	0
ASV_930	2	3	0	0
ASV_931	2	1	0	2
ASV_932	1	0	3	1
ASV_933	1	1	2	1
ASV_934	0	5	0	0
ASV_935	0	2	0	3
ASV_936	0	1	3	1
ASV_937	0	0	5	0
ASV_938	0	0	5	0
ASV_939	0	0	5	0
ASV_940	0	0	4	1
ASV_941	0	0	2	3
ASV_942	0	0	2	3
ASV_943	0	0	2	3
ASV_944	0	0	0	5
ASV_947	0	0	1	0
ASV_950	1	1	0	0
ASV_951	0	1	0	0
ASV_952	2	0	0	0
ASV_954	0	2	0	0
ASV_955	1	1	0	0
ASV_956	1	0	0	1
ASV_958	1	2	0	0
ASV_959	0	1	0	0
ASV_960	0	2	0	0
ASV_961	0	3	0	0
ASV_963	0	0	1	1
ASV_964	3	0	0	0
ASV_966	2	1	0	0
ASV_967	3	0	0	0
ASV_972	2	0	0	0
ASV_973	0	2	0	0
ASV_974	2	0	0	0
ASV_975	0	3	0	0
ASV_976	0	0	0	3
ASV_977	1	1	0	0
ASV_978	0	1	0	1
ASV_979	0	1	0	0
ASV_980	1	0	0	0
ASV_981	1	1	0	0
ASV_982	1	2	0	0
ASV_983	2	1	0	0
ASV_984	0	1	1	1
ASV_993	0	0	1	0
ASV_996	0	0	2	0
ASV_997	0	0	2	0
ASV_998	0	2	0	0
ASV_999	0	0	0	1
ASV_1000	0	0	2	1
ASV_1001	2	0	0	1
ASV_1002	0	3	0	0
ASV_1003	2	0	0	0
ASV_1004	0	0	1	1
ASV_1005	1	0	1	1
ASV_1006	1	1	0	0
ASV_1007	3	0	0	0
ASV_1008	0	0	0	2
ASV_1009	0	0	1	1
ASV_1014	0	0	1	0
ASV_1015	0	1	0	0
ASV_1016	0	0	0	2
ASV_1017	0	0	2	0
ASV_1018	2	0	0	1
ASV_1019	0	0	2	1
ASV_1020	1	0	0	2
ASV_1021	4	0	0	0
ASV_1022	4	0	0	0
ASV_1023	4	0	0	0
ASV_1024	4	0	0	0
ASV_1025	3	1	0	0
ASV_1026	2	0	0	2
ASV_1027	2	1	0	1
ASV_1028	2	2	0	0
ASV_1029	2	0	1	1
ASV_1030	1	0	1	2
ASV_1031	1	0	0	3
ASV_1032	0	4	0	0
ASV_1033	0	4	0	0
ASV_1034	0	4	0	0
ASV_1035	0	4	0	0
ASV_1036	0	4	0	0
ASV_1037	0	4	0	0
ASV_1038	0	2	0	2
ASV_1039	0	2	0	2
ASV_1040	0	1	1	2
ASV_1041	0	0	4	0
ASV_1042	0	0	4	0
ASV_1043	0	0	4	0
ASV_1044	0	0	4	0
ASV_1045	0	0	4	0
ASV_1046	0	0	2	2
ASV_1047	0	0	2	2
ASV_1048	0	0	1	3
ASV_1049	0	0	0	4
ASV_1050	0	0	0	4
ASV_1051	0	0	0	4
